post_id,platform,post_type,day_of_week,post_hour,hashtag_count,caption_length,followers_count,is_paid_promotion,ad_spend_usd,video_duration_sec,impressions,likes,comments,shares,total_engagements,engagement_rate_pct
1,Facebook,Reel/Short,Wednesday,2,3,283.0,26751,0,0.0,27,18472,208,27,19,254,1.44
2,TikTok,Text,Sunday,1,9,17.0,3765,0,0.0,0,1857,18,2,3,23,1.63
3,LinkedIn,Carousel,Wednesday,5,12,48.0,45048,0,0.0,0,16961,125,18,14,157,0.98
4,Twitter/X,Reel/Short,Saturday,23,11,109.0,8819,0,0.0,122,5274,59,12,10,81,1.67
5,Instagram,Image,Thursday,21,13,164.0,53283,0,0.0,0,49737,864,70,272,1206,2.28
6,Instagram,Image,Wednesday,4,14,,7429,0,0.0,0,2560,39,5,10,54,2.22
7,Instagram,Reel/Short,Friday,17,0,246.0,4318,0,0.0,10,2443,36,3,3,42,2.46
8,TikTok,Video,Wednesday,15,3,185.0,8071,0,0.0,34,6275,138,14,17,169,2.79
9,Twitter/X,Reel/Short,Friday,7,10,18.0,12032,0,0.0,5,5305,51,9,4,64,1.56
10,LinkedIn,Reel/Short,Sunday,19,9,184.0,8713,0,0.0,67,6741,52,9,14,75,1.08
11,Instagram,Image,Wednesday,21,9,296.0,10534,0,0.0,0,6443,123,19,22,164,2.47
12,TikTok,Reel/Short,Friday,10,11,268.0,19290,0,0.0,32,9912,202,31,81,314,3.31
13,TikTok,Video,Wednesday,9,13,172.0,11066,0,0.0,93,6070,127,25,35,187,2.96
14,Instagram,Carousel,Sunday,23,8,218.0,12422,1,,0,5376,85,9,17,111,2.09
15,Instagram,Carousel,Wednesday,11,7,154.0,2038,0,0.0,0,1801,21,3,5,29,1.47
16,Instagram,Reel/Short,Tuesday,20,10,20.0,20555,1,25.15,42,20797,653,85,167,905,4.22
17,Facebook,Image,Friday,5,3,95.0,12111,0,0.0,0,6189,44,9,6,59,1.1
18,Twitter/X,Video,Sunday,19,11,,78536,0,0.0,82,38928,555,97,117,769,1.93
19,Facebook,Carousel,Friday,4,6,257.0,4752,1,14.91,0,3204,30,5,6,41,1.29
20,Instagram,Text,Friday,22,9,64.0,1827,0,0.0,0,1118,9,0,1,10,1.17
21,Twitter/X,Carousel,Monday,8,2,270.0,26367,1,17.92,0,12298,96,14,10,120,1.02
22,Instagram,Image,Sunday,15,8,35.0,19558,0,0.0,0,19739,196,39,30,265,1.61
23,Instagram,Image,Wednesday,21,9,25.0,4406,0,0.0,0,3362,57,11,9,77,2.74
24,Facebook,Video,Friday,13,3,223.0,2483,1,24.47,11,2377,27,3,1,31,1.57
25,Facebook,Reel/Short,Saturday,21,1,85.0,72485,0,0.0,71,80966,1465,94,432,1991,2.29
26,LinkedIn,Image,Monday,7,9,293.0,63292,0,0.0,0,31114,222,24,60,306,1.03
27,Instagram,Image,Tuesday,19,4,35.0,865,0,0.0,0,767,11,1,2,14,1.95
28,Twitter/X,Reel/Short,Friday,18,1,238.0,8070,0,0.0,143,6741,64,11,13,88,1.21
